dataset,epoch,scoreType,value
oregon,1,dev_f1,0.4484086242299795
oregon,1,f1,0.4704988604710053
oregon,1,bestF1,0.4704988604710053
oregon,2,dev_f1,0.4553175307390037
oregon,2,f1,0.4756783793922721
oregon,2,bestF1,0.4756783793922721
oregon,3,dev_f1,0.4617175375064667
oregon,3,f1,0.47969348659003835
oregon,3,bestF1,0.47969348659003835
austintexas,1,dev_f1,0.5860630665702686
austintexas,1,f1,0.5904011977708153
austintexas,1,bestF1,0.5904011977708153
austintexas,2,dev_f1,0.5922552510281252
austintexas,2,f1,0.596164956394949
austintexas,2,bestF1,0.596164956394949
austintexas,3,dev_f1,0.5974349008938982
austintexas,3,f1,0.6025393391537253
austintexas,3,bestF1,0.6025393391537253
chicago,1,dev_f1,0.6018588294398393
chicago,1,f1,0.6143163741951773
chicago,1,bestF1,0.6143163741951773
chicago,2,dev_f1,0.6123643458114864
chicago,2,f1,0.6226484691995574
chicago,2,bestF1,0.6226484691995574
chicago,3,dev_f1,0.6135715171814912
chicago,3,f1,0.6253139126067302
chicago,3,bestF1,0.6253139126067302
utah,1,dev_f1,0.9456228306980332
utah,1,f1,0.9402045633359559
utah,1,bestF1,0.9402045633359559
utah,2,dev_f1,0.9462698105914188
utah,2,f1,0.9420118343195266
utah,2,bestF1,0.9420118343195266
utah,3,dev_f1,0.9470046082949308
utah,3,f1,0.9430577223088924
utah,3,bestF1,0.9430577223088924
maryland,1,dev_f1,0.2670973750072755
maryland,1,f1,0.2577681549534788
maryland,1,bestF1,0.2577681549534788
maryland,2,dev_f1,0.2670973750072755
maryland,2,f1,0.2577681549534788
maryland,2,bestF1,0.2577681549534788
maryland,3,dev_f1,0.2670973750072755
maryland,3,f1,0.2577681549534788
maryland,3,bestF1,0.2577681549534788
education,1,dev_f1,0.666048237476809
education,1,f1,0.6506469500924215
education,1,bestF1,0.6506469500924215
education,2,dev_f1,0.6710526315789473
education,2,f1,0.644486692015209
education,2,bestF1,0.644486692015209
education,3,dev_f1,0.6737451737451737
education,3,f1,0.6473429951690821
education,3,bestF1,0.6473429951690821
military,1,dev_f1,0.6606315335704278
military,1,f1,0.6546045503791983
military,1,bestF1,0.6546045503791983
military,2,dev_f1,0.6629418472063854
military,2,f1,0.6554178145087236
military,2,bestF1,0.6554178145087236
military,3,dev_f1,0.6639839034205232
military,3,f1,0.6570947840717891
military,3,bestF1,0.6570947840717891
politics,1,dev_f1,0.6760168302945302
politics,1,f1,0.6917613636363635
politics,1,bestF1,0.6917613636363635
politics,2,dev_f1,0.6874458874458875
politics,2,f1,0.6951871657754011
politics,2,bestF1,0.6951871657754011
politics,3,dev_f1,0.7022900763358779
politics,3,f1,0.7193744569939183
politics,3,bestF1,0.7193744569939183
tv_and_film,1,dev_f1,0.7858959378651453
tv_and_film,1,f1,0.7820751465012064
tv_and_film,1,bestF1,0.7820751465012064
tv_and_film,2,dev_f1,0.7858959378651453
tv_and_film,2,f1,0.7820751465012064
tv_and_film,2,bestF1,0.7820751465012064
tv_and_film,3,dev_f1,0.7858959378651453
tv_and_film,3,f1,0.7820751465012064
tv_and_film,3,bestF1,0.7820751465012064
football,1,dev_f1,0.2670973750072755
football,1,f1,0.2577681549534788
football,1,bestF1,0.2577681549534788
football,2,dev_f1,0.2670973750072755
football,2,f1,0.2577681549534788
football,2,bestF1,0.2577681549534788
football,3,dev_f1,0.2670973750072755
football,3,f1,0.2577681549534788
football,3,bestF1,0.2577681549534788