dataset,epoch,valid_f1,test_f1,best_test_f1
oregon,1,0.4484086242299795,0.4704988604710053,0.4704988604710053
oregon,2,0.4553175307390037,0.4756783793922721,0.4756783793922721
oregon,3,0.4617175375064667,0.47969348659003835,0.47969348659003835
austintexas,1,0.5860630665702686,0.5904011977708153,0.5904011977708153
austintexas,2,0.5922552510281252,0.596164956394949,0.596164956394949
austintexas,3,0.5974349008938982,0.6025393391537253,0.6025393391537253
chicago,1,0.6018588294398393,0.6143163741951773,0.6143163741951773
chicago,2,0.6123643458114864,0.6226484691995574,0.6226484691995574
chicago,3,0.6135715171814912,0.6253139126067302,0.6253139126067302
utah,1,0.9456228306980332,0.9402045633359559,0.9402045633359559
utah,2,0.9462698105914188,0.9420118343195266,0.9420118343195266
utah,3,0.9470046082949308,0.9430577223088924,0.9430577223088924
maryland,1,0.2670973750072755,0.2577681549534788,0.2577681549534788
maryland,2,0.2670973750072755,0.2577681549534788,0.2577681549534788
maryland,3,0.2670973750072755,0.2577681549534788,0.2577681549534788
education,1,0.666048237476809,0.6506469500924215,0.6506469500924215
education,2,0.6710526315789473,0.644486692015209,0.644486692015209
education,3,0.6737451737451737,0.6473429951690821,0.6473429951690821
military,1,0.6606315335704278,0.6546045503791983,0.6546045503791983
military,2,0.6629418472063854,0.6554178145087236,0.6554178145087236
military,3,0.6639839034205232,0.6570947840717891,0.6570947840717891
politics,1,0.6760168302945302,0.6917613636363635,0.6917613636363635
politics,2,0.6874458874458875,0.6951871657754011,0.6951871657754011
politics,3,0.7022900763358779,0.7193744569939183,0.7193744569939183
tv_and_film,1,0.7858959378651453,0.7820751465012064,0.7820751465012064
tv_and_film,2,0.7858959378651453,0.7820751465012064,0.7820751465012064
tv_and_film,3,0.7858959378651453,0.7820751465012064,0.7820751465012064
football,1,0.8601096063552583,0.8610443513372983,0.8610443513372983
football,2,0.8909129210217099,0.8911147006887474,0.8911147006887474
football,3,0.9088608397993044,0.9088263386745836,0.9088263386745836