file,timeInSeconds,method
500000.json,21968,RM
750000.json,49470,RM
1000000.json,86400,RM
1500000.json,86400,RM
2000000.json,86400,RM
2500000.json,86400,RM
3000000.json,86400,RM
3500000.json,86400,RM
500000.json,1831,CBRB
1000000.json,2991,CBRB
1500000.json,5151,CBRB
2000000.json,8081,CBRB
2500000.json,11712,CBRB
3000000.json,16586,CBRB
750000.json,1814,CBRB
3500000.json,21437,CBRB
500000.json,60,EM
500000.json,72,CQM
500000.json,82,TSM
500000.json,70,VSM
750000.json,97,EM
750000.json,92,CQM
750000.json,125,TSM
750000.json,97,VSM
1000000.json,122,EM
1000000.json,119,CQM
1000000.json,158,TSM
1000000.json,131,VSM
1500000.json,187,EM
1500000.json,180,CQM
1500000.json,200,TSM
1500000.json,210,VSM
2000000.json,245,EM
2000000.json,208,CQM
2000000.json,302,TSM
2000000.json,280,VSM
2500000.json,320,EM
2500000.json,302,CQM
2500000.json,373,TSM
2500000.json,325,VSM
3000000.json,345,EM
3000000.json,336,CQM
3000000.json,462,TSM
3000000.json,410,VSM
3500000.json,430,EM
3500000.json,414,CQM
3500000.json,560,TSM
3500000.json,484,VSM