decayMethod,dsName,decayProbability,trainTimeEnd,totalCount
NO_DECAY,education,NaN,2016-05-07,2949
NO_DECAY,football,NaN,2016-05-07,977380
NO_DECAY,military,NaN,2016-05-07,32269
NO_DECAY,politics,NaN,2016-05-07,4103
NO_DECAY,tv_and_film,NaN,2016-05-07,10947
PROBABILISTIC_DECAY_FUNCTION,education,0.3,2016-05-07,18407
PROBABILISTIC_DECAY_FUNCTION,education,0.7,2016-05-07,6565
PROBABILISTIC_DECAY_FUNCTION,football,0.3,2016-05-07,31195335
PROBABILISTIC_DECAY_FUNCTION,football,0.7,2016-05-07,9715285
PROBABILISTIC_DECAY_FUNCTION,military,0.3,2016-05-07,113895
PROBABILISTIC_DECAY_FUNCTION,military,0.7,2016-05-07,37498
PROBABILISTIC_DECAY_FUNCTION,politics,0.3,2016-05-07,11667
PROBABILISTIC_DECAY_FUNCTION,politics,0.7,2016-05-07,6049
PROBABILISTIC_DECAY_FUNCTION,tv_and_film,0.3,2016-05-07,275156
PROBABILISTIC_DECAY_FUNCTION,tv_and_film,0.7,2016-05-07,46424